STATION,MON.DAY,YEAR,SNOW,SNWD,TMAX,TMIN,TOBS
USC00427064,12-24,1981,0,0,34,14,34
USC00427064,12-25,1981,4,4,39,28,31
USC00427064,12-26,1981,1.5,5,34,16,34
USC00427064,12-27,1981,2,6,36,16,30
USC00427064,12-28,1981,0,4,35,9,24
USC00427064,12-29,1981,0,3,40,17,37
USC00427064,12-30,1981,0,1,41,32,34
USC00427064,12-31,1981,0,1,34,25,29
USC00427064,1-1,1982,1,2,41,27,28
USC00427064,1-2,1982,3,5,28,13,24
USC00427064,1-3,1982,0,5,33,9,28
USC00427064,1-4,1982,1.5,6,33,22,32
USC00427064,1-5,1982,8,12,35,30,25
USC00427064,1-6,1982,1,11,26,8,10
USC00427064,1-7,1982,0,11,14,-6,10
USC00427064,1-8,1982,0,10,19,-4,12
USC00427064,1-9,1982,0,10,25,0,18
USC00427064,1-10,1982,0,10,30,4,24
USC00427064,1-11,1982,0,9,35,7,26
USC00427064,1-12,1982,0,9,26,15,26
USC00427064,1-13,1982,2,10,40,19,28
USC00427064,1-14,1982,0,9,38,14,35
USC00427064,1-15,1982,0,8,44,21,38
USC00427064,1-16,1982,0,8,40,23,38
USC00427064,1-17,1982,0,6,55,25,47
USC00427064,1-18,1982,0,5,47,33,37
USC00427064,1-19,1982,0,4,44,19,36
USC00427064,1-20,1982,2,6,37,23,34
USC00427064,1-21,1982,4.5,9,36,29,30
USC00427064,1-22,1982,2,10,33,21,26
USC00427064,1-23,1982,0,9,35,12,33
USC00427064,1-24,1982,0,7,42,17,36
USC00427064,1-25,1982,0,6,44,19,39
USC00427064,1-26,1982,0,4,58,29,50
USC00427064,1-27,1982,1,4,50,27,38
USC00427064,1-28,1982,0,3,43,19,36
USC00427064,1-29,1982,1,4,36,26,32
USC00427064,1-30,1982,0,4,33,17,32
USC00427064,1-31,1982,0.5,4,38,21,32
USC00427064,2-1,1982,0,4,35,19,28
USC00427064,2-2,1982,0.5,4,34,20,32
USC00427064,2-3,1982,7,9,28,25,26
USC00427064,2-4,1982,1,10,26,12,12
USC00427064,2-5,1982,0,10,12,-9,10
USC00427064,2-6,1982,0,9,14,-13,11
USC00427064,2-7,1982,0,9,23,-7,18
USC00427064,2-8,1982,0,9,25,9,19
USC00427064,2-9,1982,0,8,30,1,30
USC00427064,2-10,1982,1,7,31,11,27
USC00427064,2-11,1982,0,6,37,11,30
USC00427064,2-12,1982,0,5,38,10,33
USC00427064,2-13,1982,0,4,45,14,39
USC00427064,2-14,1982,0,1,53,34,45
USC00427064,2-15,1982,0,0,55,30,43
USC00427064,2-16,1982,0,0,48,37,39
USC00427064,2-17,1982,0,0,43,26,40
USC00427064,2-18,1982,0,0,47,33,44
USC00427064,2-19,1982,0,0,48,25,46
USC00427064,2-20,1982,0,0,59,27,53
USC00427064,2-21,1982,0,0,65,29,58
USC00427064,2-22,1982,0,0,67,35,60
USC00427064,2-23,1982,0,0,60,39,44
USC00427064,2-24,1982,0,0,44,21,42
USC00427064,2-25,1982,0,0,51,22,47
USC00427064,2-26,1982,0,0,59,28,56
USC00427064,2-27,1982,0,0,60,37,53
USC00427064,2-28,1982,0,0,62,29,59
USC00427064,3-1,1982,0,0,59,36,55
USC00427064,3-2,1982,0,0,55,35,41
USC00427064,3-3,1982,3,0,41,32,34
USC00427064,3-4,1982,1.5,1,37,30,35
USC00427064,3-5,1982,4,1,39,28,38
USC00427064,3-6,1982,0,0,43,22,41
USC00427064,3-7,1982,0,0,55,26,52
USC00427064,3-8,1982,0,0,58,32,55
USC00427064,3-9,1982,0,0,64,28,60
USC00427064,3-10,1982,0,0,62,40,55
USC00427064,3-11,1982,0,0,55,39,44
USC00427064,3-12,1982,0.5,0,45,27,43
USC00427064,3-13,1982,0,0,55,25,54
USC00427064,3-14,1982,0,0,54,35,43
USC00427064,3-15,1982,0,0,43,37,40
USC00427064,3-16,1982,0,0,47,34,45
USC00427064,3-17,1982,0.5,0,52,30,49
USC00427064,3-18,1982,1,0,53,32,35
USC00427064,3-19,1982,1,0,36,30,35
USC00427064,3-20,1982,1,0,41,26,38
USC00427064,3-21,1982,0,0,44,19,41
USC00427064,3-22,1982,0,0,48,22,45
USC00427064,3-23,1982,0,0,50,21,47
USC00427064,3-24,1982,0,0,59,26,56
USC00427064,3-25,1982,0,0,66,29,62
USC00427064,3-26,1982,0,0,62,45,46
USC00427064,3-27,1982,0,0,59,41,59
USC00427064,3-28,1982,0,0,63,39,57
USC00427064,3-29,1982,4.5,2,57,30,35
USC00427064,3-30,1982,1,0,45,28,44
USC00427064,3-31,1982,0,0,57,33,56
USC00427064,4-1,1982,0,0,56,41,42
USC00427064,4-2,1982,1,0,47,24,44
USC00427064,4-3,1982,0,0,61,36,60
USC00427064,4-4,1982,0,0,60,35,38
USC00427064,4-5,1982,0,0,48,22,48
USC00427064,4-6,1982,0,0,50,37,44
USC00427064,4-7,1982,4,1,44,27,35
USC00427064,4-8,1982,0,0,47,20,44
USC00427064,4-9,1982,0,0,53,23,48
USC00427064,4-10,1982,0,0,62,26,59
USC00427064,4-11,1982,0,0,61,47,59
USC00427064,4-12,1982,0,0,59,44,56
USC00427064,4-13,1982,0,0,72,39,69
USC00427064,4-14,1982,0,0,69,41,62
USC00427064,4-15,1982,0,0,62,43,49
USC00427064,4-16,1982,0,0,51,27,50
USC00427064,4-17,1982,0,0,63,28,62
USC00427064,4-18,1982,0,0,62,34,43
USC00427064,4-19,1982,0,0,44,27,40
USC00427064,4-20,1982,0,0,46,24,45
USC00427064,4-21,1982,0,0,56,25,55
USC00427064,4-22,1982,0,0,68,30,67
USC00427064,4-23,1982,0,0,70,36,66
USC00427064,4-24,1982,0,0,70,37,68
USC00427064,4-25,1982,0,0,72,39,65
USC00427064,4-26,1982,0,0,67,51,66
USC00427064,4-27,1982,0,0,70,45,68
USC00427064,4-28,1982,0,0,80,39,77
USC00427064,4-29,1982,0,0,77,40,58
USC00427064,4-30,1982,0,0,73,36,70
USC00427064,5-1,1982,0,0,82,45,74
USC00427064,5-2,1982,0,0,80,49,77
USC00427064,5-3,1982,0,0,77,51,56
USC00427064,5-4,1982,0,0,65,48,57
USC00427064,5-5,1982,0,0,58,34,55
USC00427064,5-6,1982,0,0,64,29,59
USC00427064,5-7,1982,0,0,73,38,67
USC00427064,5-8,1982,0,0,73,50,62
USC00427064,5-9,1982,0,0,62,41,43
USC00427064,5-10,1982,0,0,48,39,45
USC00427064,5-11,1982,0,0,58,35,55
USC00427064,5-12,1982,0,0,62,33,60
USC00427064,5-13,1982,0,0,65,37,64
USC00427064,5-14,1982,0,0,71,38,70
USC00427064,5-15,1982,0,0,73,43,66
USC00427064,5-16,1982,0,0,69,42,65
USC00427064,5-17,1982,0,0,77,43,76
USC00427064,5-18,1982,0,0,78,57,60
USC00427064,5-19,1982,0,0,61,45,59
USC00427064,5-20,1982,0,0,67,35,66
USC00427064,5-21,1982,0,0,78,39,76
USC00427064,5-22,1982,0,0,80,47,73
USC00427064,5-23,1982,0,0,76,49,73
USC00427064,5-24,1982,0,0,74,47,72
